Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
Media Monitoring,,,,2022-01-26 14:59:52,2022-01-26 15:02:51,2m - 59.419s,FAILED
,,,,,,,
Test Cases/CheckClips,,,,2022-01-26 14:59:52,2022-01-26 15:00:26,33.810s,PASSED
Start listener action : sampleBeforeTestCase,,,,2022-01-26 14:59:52,2022-01-26 14:59:56,4.491s,PASSED
ids = CropResponse().getIdsList(Clips),,,,2022-01-26 14:59:57,2022-01-26 14:59:59,2.498s,PASSED
statusCode = <not implemented yet for class: org.codehaus.groovy.ast.expr.EmptyExpression>,,,,2022-01-26 14:59:59,2022-01-26 14:59:59,0.000s,PASSED
responseBody = <not implemented yet for class: org.codehaus.groovy.ast.expr.EmptyExpression>,,,,2022-01-26 14:59:59,2022-01-26 14:59:59,0.001s,PASSED
DRM = <not implemented yet for class: org.codehaus.groovy.ast.expr.EmptyExpression>,,,,2022-01-26 14:59:59,2022-01-26 14:59:59,0.000s,PASSED
DRMStatusCode = <not implemented yet for class: org.codehaus.groovy.ast.expr.EmptyExpression>,,,,2022-01-26 14:59:59,2022-01-26 14:59:59,0.000s,PASSED
DRMresponseBody = <not implemented yet for class: org.codehaus.groovy.ast.expr.EmptyExpression>,,,,2022-01-26 14:59:59,2022-01-26 14:59:59,0.001s,PASSED
urlFlag = true,,,,2022-01-26 14:59:59,2022-01-26 14:59:59,0.001s,PASSED
DRMFlag = true,,,,2022-01-26 14:59:59,2022-01-26 14:59:59,0.000s,PASSED
url = <not implemented yet for class: org.codehaus.groovy.ast.expr.EmptyExpression>,,,,2022-01-26 14:59:59,2022-01-26 14:59:59,0.000s,PASSED
"for ([i = 0, i < ids.size(), (i++)])",,,,2022-01-26 14:59:59,2022-01-26 15:00:26,26.578s,PASSED
Start listener action : sampleAfterTestCase,,,,2022-01-26 15:00:26,2022-01-26 15:00:26,0.005s,PASSED
,,,,,,,
Test Cases/CheckEpisodes,,,,2022-01-26 15:00:26,2022-01-26 15:01:33,1m - 7.368s,FAILED
Start listener action : sampleBeforeTestCase,,,,2022-01-26 15:00:26,2022-01-26 15:00:27,1.732s,PASSED
ids = CropResponse().getIdsList(Episodes),,,,2022-01-26 15:00:28,2022-01-26 15:00:28,0.507s,PASSED
statusCode = <not implemented yet for class: org.codehaus.groovy.ast.expr.EmptyExpression>,,,,2022-01-26 15:00:28,2022-01-26 15:00:28,0.000s,PASSED
responseBody = <not implemented yet for class: org.codehaus.groovy.ast.expr.EmptyExpression>,,,,2022-01-26 15:00:28,2022-01-26 15:00:28,0.000s,PASSED
DRM = <not implemented yet for class: org.codehaus.groovy.ast.expr.EmptyExpression>,,,,2022-01-26 15:00:28,2022-01-26 15:00:28,0.000s,PASSED
DRMStatusCode = <not implemented yet for class: org.codehaus.groovy.ast.expr.EmptyExpression>,,,,2022-01-26 15:00:28,2022-01-26 15:00:28,0.001s,PASSED
DRMresponseBody = <not implemented yet for class: org.codehaus.groovy.ast.expr.EmptyExpression>,,,,2022-01-26 15:00:28,2022-01-26 15:00:28,0.000s,PASSED
urlFlag = true,,,,2022-01-26 15:00:28,2022-01-26 15:00:28,0.000s,PASSED
DRMFlag = true,,,,2022-01-26 15:00:28,2022-01-26 15:00:28,0.000s,PASSED
url = <not implemented yet for class: org.codehaus.groovy.ast.expr.EmptyExpression>,,,,2022-01-26 15:00:28,2022-01-26 15:00:28,0.000s,PASSED
"for ([i = 0, i < ids.size(), (i++)])",,,,2022-01-26 15:00:28,2022-01-26 15:01:33,1m - 4.999s,FAILED
Start listener action : sampleAfterTestCase,,,,2022-01-26 15:01:33,2022-01-26 15:01:33,0.001s,PASSED
,,,,,,,
Test Cases/CheckMovies,,,,2022-01-26 15:01:33,2022-01-26 15:02:51,1m - 18.006s,FAILED
Start listener action : sampleBeforeTestCase,,,,2022-01-26 15:01:33,2022-01-26 15:01:35,1.480s,PASSED
ids = CropResponse().getIdsList(Movies),,,,2022-01-26 15:01:35,2022-01-26 15:01:35,0.406s,PASSED
statusCode = <not implemented yet for class: org.codehaus.groovy.ast.expr.EmptyExpression>,,,,2022-01-26 15:01:35,2022-01-26 15:01:35,0.000s,PASSED
responseBody = <not implemented yet for class: org.codehaus.groovy.ast.expr.EmptyExpression>,,,,2022-01-26 15:01:35,2022-01-26 15:01:35,0.000s,PASSED
DRM = <not implemented yet for class: org.codehaus.groovy.ast.expr.EmptyExpression>,,,,2022-01-26 15:01:35,2022-01-26 15:01:35,0.000s,PASSED
DRMStatusCode = <not implemented yet for class: org.codehaus.groovy.ast.expr.EmptyExpression>,,,,2022-01-26 15:01:35,2022-01-26 15:01:35,0.000s,PASSED
DRMresponseBody = <not implemented yet for class: org.codehaus.groovy.ast.expr.EmptyExpression>,,,,2022-01-26 15:01:35,2022-01-26 15:01:35,0.000s,PASSED
urlFlag = true,,,,2022-01-26 15:01:35,2022-01-26 15:01:35,0.000s,PASSED
DRMFlag = true,,,,2022-01-26 15:01:35,2022-01-26 15:01:35,0.000s,PASSED
url = <not implemented yet for class: org.codehaus.groovy.ast.expr.EmptyExpression>,,,,2022-01-26 15:01:35,2022-01-26 15:01:35,0.000s,PASSED
"for ([i = 0, i < ids.size(), (i++)])",,,,2022-01-26 15:01:35,2022-01-26 15:02:51,1m - 15.997s,FAILED
Start listener action : sampleAfterTestCase,,,,2022-01-26 15:02:51,2022-01-26 15:02:51,0.001s,PASSED
